Fecha,Zona,Valor
2026-03-24 19:00:00+00:00,Alemania,404.4
2026-03-24 19:00:00+00:00,Bélgica,410.13
2026-03-24 19:00:00+00:00,España,607.3
2026-03-24 19:00:00+00:00,Francia,366.05
2026-03-24 19:00:00+00:00,Países Bajos,444.42
2026-03-24 19:00:00+00:00,Portugal,607.3
2026-03-24 20:00:00+00:00,Portugal,554.95
2026-03-24 20:00:00+00:00,Francia,174.06
2026-03-24 20:00:00+00:00,Países Bajos,396.12
2026-03-24 20:00:00+00:00,Bélgica,308.03
2026-03-24 20:00:00+00:00,Alemania,297.99
2026-03-24 20:00:00+00:00,España,554.95
2026-03-24 21:00:00+00:00,Alemania,264.41
2026-03-24 21:00:00+00:00,Bélgica,275.18
2026-03-24 21:00:00+00:00,España,413.99
2026-03-24 21:00:00+00:00,Francia,208.09
2026-03-24 21:00:00+00:00,Países Bajos,330.71
2026-03-24 21:00:00+00:00,Portugal,413.99
2026-03-24 22:00:00+00:00,Países Bajos,127.59
2026-03-24 22:00:00+00:00,Alemania,88.39
2026-03-24 22:00:00+00:00,Bélgica,116.64
2026-03-24 22:00:00+00:00,España,259.53
2026-03-24 22:00:00+00:00,Francia,117.34
2026-03-24 22:00:00+00:00,Portugal,259.53
